=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/nature_tiny_ver_1.png;PNG;400x600;400x600+0+0;8-bit;sRGB;428379B;0.000u;0:00.003;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_1.avif;428379;71845;489;101;83;13;0.943130699;33.15544415;31.44386667;5.607483096;0.962372047;1.091529783;0.605600785;522.0245155;0.033075283;0.609568078;30.57101738;0.820993856;62.76426766
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/nature_small_ver_1.png;PNG;800x1200;800x1200+0+0;8-bit;sRGB;1.54278MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_2.avif;1617721;270911;1702;225;83;13;0.947840254;34.01927733;25.77226736;5.076639377;0.962391754;0.988010536;0.593086664;513.2837515;0.029762521;0.612926084;31.28478854;0.822500564;66.22826984
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/travel_small_hor_1.png;PNG;600x400;600x400+0+0;8-bit;sRGB;432856B;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_3.avif;432856;64437;413;116;85;13;0.96233518;30.18965744;62.24645417;7.889642208;0.954373807;1.43348525;0.646300135;382.7328456;0.04608626;0.624353988;28.68787516;0.79664784;61.92806157
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/text_ver_1.png;PNG;1000x1333;1000x1333+0+0;8-bit;sRGB;2.05855MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_4.avif;2158545;244375;1685;333;89;13;0.976526833;35.65344738;17.69031733;4.205985893;0.983827793;0.901127821;0.666084333;nan;0.029052088;0.764846453;35.34554562;0.844179612;66.0615444
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/animal_sq_1.png;PNG;1152x1153;1152x1153+0+0;8-bit;sRGB;2.31963MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_5.avif;2432313;318587;2015;413;87;13;0.990428652;38.92909456;8.320911531;2.884599024;0.999384606;0.504665607;0.905622004;141.4464641;0.018540065;0.778901364;37.43569971;0.875178506;69.50289153
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/food_ver_1.png;PNG;1920x2400;1920x2400+0+0;8-bit;sRGB;2.86374MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_6.avif;3002845;177896;2517;1039;94;13;0.98640295;44.71808529;2.194177879;1.481275761;0.990134529;0.488001658;0.256135999;nan;0.014614292;0.779829238;42.2860479;0.84435607;69.80280828
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/people_nature_1_ver.png;PNG;1920x2400;1920x2400+0+0;8-bit;sRGB;5.06879MiB;0.000u;0:00.003;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
