sep=,



=======================================================
Image Data:,../shared/images/nature_tiny_ver_1.png,PNG,400x600,400x600+0+0,8-bit,sRGB,428379B,0.016u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_1.avif,428379,120853,570,111,72,4,0.9514955043171088,33.95012717619429,26.185908333333334,5.117216854241506,0.9645119264696024,0.9998601537418192,0.6931045707038322,469.88122546025267,0.029727075804974953,0.6698382147295382,31.053632804152972,0.8373464973040904,63.39373630455092,
JPEG XL,./result/res_jxl_1.jxl,428379,117313,161,266,73,97,0.9436483424935164,33.797254020680334,27.124076388888888,5.208077993740963,0.9622838883293552,1.0360334600164527,0.6549140661777244,456.34584923633975,0.029053424824526275,0.6666252330136824,30.854955755466666,0.8330014389386738,65.17813351469934,
libjpeg Image Magick,./result/res_jpeg_1.jpg,428379,122979,63,122,71,90,0.9591538030011626,34.809049419758885,21.486981944444445,4.6354052621582555,0.9753174078160965,0.8938416679961626,0.6213717794558794,447.26292025210415,0.028189227221556673,0.6216254177362551,33.340613503108855,0.8325283049412412,63.15958766580345,
WebP,./result/res_webp_1.webp,428379,122038,248,116,72,96,0.9503589585476891,33.907130686915764,26.446444444444445,5.14261066428759,0.9651535175815628,1.003853407133909,0.697133768442419,477.15183832454665,0.03004070225242354,0.6569958790888512,31.135761411047586,0.832017520021772,63.29062142461921,
FLIF,./result/res_flif_1.flif,428379,124466,1170,174,71,66,0.9763151280944892,37.56741339123917,11.385156944444445,3.374189820452377,0.9856784015218474,0.6494149269191781,0.6742371848815617,336.5746690332212,0.020615899579658075,0.6910011031304726,36.902669877443145,0.8518698073788452,64.45540718712655,
BPG,./result/res_bpg_1.bpg,428379,124355,147,117,71,1,0.9774950906514559,38.152905021321,9.949238888888889,3.154241412588594,0.9913209285939127,0.5961331849092245,0.5946379531011932,301.86191881141303,0.019374941713337004,0.6768088439224549,38.31876193292773,0.8517408633516289,64.54351707985222,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_1.jpg,428379,117501,43,41,73,94,0.9455249361491486,33.27474915487031,30.591829166666667,5.530988082311032,0.9636657543075211,1.07697167668318,0.6576730027842591,518.331262603761,0.03273985828656634,0.6185393112191475,30.780035203009852,0.8214333524516794,62.80653283057829,
guetzli,./result/res_jpegGUETZLI_1.jpg,428379,122791,21016,112,71,96,0.9512467359631315,33.77868740392829,27.240283333333334,5.219222483601684,0.9685486067619523,1.0135867991074659,0.6421260545496248,476.4681250993189,0.030929380217784085,0.6215342732878832,31.281544039183334,0.8264890562223153,62.987623277724865,
mozjpeg,./result/res_jpegMOZ_1.jpg,428379,125570,123,49,71,91,0.9689666334926256,35.199083813149635,19.641379166666667,4.431859560801388,0.9840519868606056,0.8356802889306726,0.609086504239374,419.7972292113885,0.027182317956965883,0.6221997992762501,34.99374810775551,0.8485766982300262,63.05474008365955,






=======================================================
Image Data:,../shared/images/nature_small_ver_1.png,PNG,800x1200,800x1200+0+0,8-bit,sRGB,1.54278MiB,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_2.avif,1617721,457957,2038,269,72,4,0.9564585989580964,34.90671182803589,21.009183680555555,4.583577607126943,0.9649178146699496,0.8956098490179993,0.6882255291951718,456.1664379896234,0.026326700779276558,0.6847915831676149,31.801957545267044,0.8411571763276108,66.9489165483813,
JPEG XL,./result/res_jxl_2.jxl,1617721,430198,335,304,73,97,0.948907599614166,34.45379168559169,23.31853125,4.82892651114096,0.9623438720727435,0.9609337446748285,0.6544981167028968,441.5517165152038,0.026709752975214707,0.6640893957603501,31.28688895947626,0.8321856253485581,68.58009258982759,
libjpeg Image Magick,./result/res_jpeg_2.jpg,1617721,452089,107,289,72,90,0.9628740283116249,35.69798650004026,17.509821180555555,4.184473823619351,0.975350253313865,0.8055086632025957,0.6122738515441256,441.95557855865167,0.025434213300626243,0.6218761867290895,34.15669850211711,0.8362691341390923,66.57083425124172,
WebP,./result/res_webp_2.webp,1617721,456586,647,177,72,96,0.955649252014425,34.85027075190332,21.28400173611111,4.61345876063839,0.9657366064983511,0.9001568019226832,0.6912633278199467,465.91028418820076,0.02673080314019549,0.6683524212606838,31.905692117215892,0.8360817133913744,66.79935195020362,
FLIF,./result/res_flif_2.flif,1617721,446608,4523,528,72,66,0.9774491650071155,38.08365526276637,10.109154513888889,3.1794896624912763,0.9850063951019918,0.6121570900465614,0.669739430229984,346.1691881479405,0.01940823589295877,0.6886566229148389,37.45388078015648,0.8538291159833845,67.70916679591767,
BPG,./result/res_bpg_2.bpg,1617721,462550,287,319,71,1,0.9751785117209574,38.27433486372618,9.674908680555555,3.110451523582317,0.9876475677579825,0.5880040940416934,0.5677421833429338,327.49934647099604,0.01909072935975595,0.6598399915583789,38.312079796858185,0.8507725945334347,67.60320462114639,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_2.jpg,1617721,438276,48,49,73,94,0.9504297923949245,34.12042451989248,25.17896701388889,5.017864786329828,0.9633899878121066,0.9763000491507462,0.6574220831436834,517.0272022250839,0.029577041197577886,0.6218905929115697,31.507403746915045,0.8231747731513819,66.22893257966504,
